Length,Island,Year
75.055,Cayman Brac,2017
51.443,Cayman Brac,2017
77.4,Cayman Brac,2017
72.201,Cayman Brac,2017
78.035,Cayman Brac,2017
77.047,Cayman Brac,2017
56.535,Cayman Brac,2017
75.054,Cayman Brac,2017
68.784,Cayman Brac,2017
74.311,Cayman Brac,2017
56.839,Cayman Brac,2017
49.827,Cayman Brac,2017
53.363,Cayman Brac,2017
49.317,Cayman Brac,2017
54.9,Cayman Brac,2017
73.976,Cayman Brac,2017
51.063,Cayman Brac,2017
50.559,Cayman Brac,2017
66.256,Cayman Brac,2017
69.899,Cayman Brac,2017
77.497,Cayman Brac,2017
75.484,Cayman Brac,2017
78.313,Cayman Brac,2017
80.374,Cayman Brac,2017
59.539,Cayman Brac,2017
65.181,Cayman Brac,2017
64.41,Cayman Brac,2017
69.252,Cayman Brac,2017
76.895,Cayman Brac,2017
74.816,Cayman Brac,2017
73.898,Cayman Brac,2017
77.143,Cayman Brac,2017
71.867,Cayman Brac,2017
69.197,Cayman Brac,2017
62.952,Cayman Brac,2017
76.231,Cayman Brac,2017
75.951,Cayman Brac,2017
67.519,Cayman Brac,2017
70.549,Cayman Brac,2017
61.6,Cayman Brac,2017
70.162,Cayman Brac,2017
70.373,Cayman Brac,2017
79.151,Cayman Brac,2017
65.47,Cayman Brac,2017
66.503,Cayman Brac,2017
81.502,Cayman Brac,2017
62.743,Cayman Brac,2017
56.047,Cayman Brac,2017
51.093,Cayman Brac,2017
80.374,Cayman Brac,2017
76.104,Cayman Brac,2017
63.138,Cayman Brac,2017
79.371,Cayman Brac,2017
63.194,Cayman Brac,2017
68.131,Cayman Brac,2017
66.336,Cayman Brac,2017
62.823,Cayman Brac,2017
70.486,Cayman Brac,2017
68.306,Cayman Brac,2017
71.483,Cayman Brac,2017
60.2,Cayman Brac,2017
59.942,Cayman Brac,2017
82.386,Cayman Brac,2017
67.266,Cayman Brac,2017
67.344,Cayman Brac,2017
69.192,Cayman Brac,2017
70.213,Cayman Brac,2017
71.255,Cayman Brac,2017
71.82,Cayman Brac,2017
67.68,Cayman Brac,2017
75.743,Cayman Brac,2017
77.937,Cayman Brac,2017
69.993,Cayman Brac,2017
77.342,Cayman Brac,2017
71.102,Cayman Brac,2017
68.729,Cayman Brac,2017
72.674,Cayman Brac,2017
64.571,Cayman Brac,2017
75.099,Cayman Brac,2017
51.951,Cayman Brac,2017
76.895,Cayman Brac,2017
49.295,Cayman Brac,2017
53.159,Cayman Brac,2017
53.428,Cayman Brac,2017
57.33,Cayman Brac,2017
59.078,Cayman Brac,2017
62.396,Cayman Brac,2017
49.362,Cayman Brac,2017
55.337,Cayman Brac,2017
52.795,Cayman Brac,2017
55.672,Cayman Brac,2017
66.974,Cayman Brac,2017
53.527,Cayman Brac,2017
45.544,Cayman Brac,2017
72.253,Cayman Brac,2017
54.786,Cayman Brac,2017
51.134,Cayman Brac,2017
51.204,Cayman Brac,2017
53.535,Cayman Brac,2017
51.174,Cayman Brac,2017
74.273,Cayman Brac,2017
57.05,Cayman Brac,2017
77.521,Cayman Brac,2017
76.754,Cayman Brac,2017
65.249,Cayman Brac,2017
74.601,Cayman Brac,2017
77.288,Cayman Brac,2017
67.6121768426763,Cayman Brac,2018
69.4658431298047,Cayman Brac,2018
66.3459172345246,Cayman Brac,2018
53.5302398972317,Cayman Brac,2018
47.2315757748321,Cayman Brac,2018
48.364286372393,Cayman Brac,2018
59.6376644264164,Cayman Brac,2018
65.2867007310284,Cayman Brac,2018
59.3012247504835,Cayman Brac,2018
87.2914758764968,Cayman Brac,2018
80.2270907616889,Cayman Brac,2018
57.3749863250732,Cayman Brac,2018
48.3601324431679,Cayman Brac,2018
74.759102296956,Cayman Brac,2018
56.6219844713429,Cayman Brac,2018
62.6564045456671,Cayman Brac,2018
62.8034643665232,Cayman Brac,2018
60.5069595019733,Cayman Brac,2018
65.7864205957046,Cayman Brac,2018
60.6081863448137,Cayman Brac,2018
66.8272955485596,Cayman Brac,2018
59.123014387713,Cayman Brac,2018
60.3674051724016,Cayman Brac,2018
55.9739248621601,Cayman Brac,2018
67.7587504332651,Cayman Brac,2018
70.3469868357861,Cayman Brac,2018
66.4826466590462,Cayman Brac,2018
56.7608798154096,Cayman Brac,2018
47.7186922251961,Cayman Brac,2018
60.6779657167192,Cayman Brac,2018
64.7203265045659,Cayman Brac,2018
58.2288961969181,Cayman Brac,2018
78.019390807173,Cayman Brac,2018
58.7273470099174,Cayman Brac,2018
70.0968424251849,Cayman Brac,2018
78.4695210132608,Cayman Brac,2018
62.26590847118,Cayman Brac,2018
60.2301995414142,Cayman Brac,2018
82.6456305933671,Cayman Brac,2018
63.35718185191,Cayman Brac,2018
69.0635784362869,Cayman Brac,2018
52.4983241381804,Cayman Brac,2018
69.6659861723972,Cayman Brac,2018
63.996403521378,Cayman Brac,2018
76.3797084835991,Cayman Brac,2018
76.4054791804548,Cayman Brac,2018
48.2583016158371,Cayman Brac,2018
76.351646362442,Cayman Brac,2018
78.6727815582689,Cayman Brac,2018
50.5993662560387,Cayman Brac,2018
62.493536513537,Cayman Brac,2018
59.2610477595483,Cayman Brac,2018
64.1357401558193,Cayman Brac,2018
67.8291337790808,Cayman Brac,2018
69.4773620763681,Cayman Brac,2018
75.9306431791832,Cayman Brac,2018
91.6695969070235,Cayman Brac,2018
72.4204653763408,Cayman Brac,2018
57.2728212530004,Cayman Brac,2018
57.4116788589845,Cayman Brac,2018
59.676311413265,Cayman Brac,2018
56.7334972375979,Cayman Brac,2018
49.7469598499747,Cayman Brac,2018
67.5709205568637,Cayman Brac,2018
54.1733967143145,Cayman Brac,2018
56.1952473137482,Cayman Brac,2018
60.4934270640365,Cayman Brac,2018
56.9058522952009,Cayman Brac,2018
53.2427365632615,Cayman Brac,2018
54.3973220863582,Cayman Brac,2018
53.8440425642118,Cayman Brac,2018
54.6718681355371,Cayman Brac,2018
56.5765873533384,Cayman Brac,2018
75.6283061934581,Cayman Brac,2018
68.5986936077372,Cayman Brac,2018
56.7405049588368,Cayman Brac,2018
69.9331730782983,Cayman Brac,2018
73.6142363302944,Cayman Brac,2018
71.8858846103213,Cayman Brac,2018
60.6732595278117,Cayman Brac,2018
73.9101220281745,Cayman Brac,2018
63.1761220155855,Cayman Brac,2018
68.6003163093318,Cayman Brac,2018
71.1913636797145,Cayman Brac,2018
71.756977169638,Cayman Brac,2018
61.5519331319466,Cayman Brac,2018
70.2098761114037,Cayman Brac,2018
89.2280945198891,Cayman Brac,2018
69.6320306504102,Cayman Brac,2018
66.3487840468221,Cayman Brac,2018
70.8905653694052,Cayman Brac,2018
56.7740609545418,Cayman Brac,2018
75.5174625128618,Cayman Brac,2018
73.3287819939942,Cayman Brac,2018
75.2291824150902,Cayman Brac,2018
57.7464395782485,Cayman Brac,2018
73.776309704696,Cayman Brac,2018
56.6574769664262,Cayman Brac,2018
58.6398066147646,Cayman Brac,2018
58.3985671025874,Cayman Brac,2018
53.1176538851577,Cayman Brac,2018
75.0821375099318,Cayman Brac,2018
71.2482370102585,Cayman Brac,2018
60.7714094965135,Cayman Brac,2018
54.0328191043954,Cayman Brac,2018
60.6280630237923,Cayman Brac,2018
50.0061568679772,Cayman Brac,2018
56.3531177883575,Cayman Brac,2018
55.732914925131,Cayman Brac,2018
61.2780374047078,Cayman Brac,2018
56.3512659167166,Cayman Brac,2018
48.6242759685161,Cayman Brac,2018
55.5172727465933,Cayman Brac,2018
57.4658125194874,Cayman Brac,2018
59.5196728999398,Cayman Brac,2018
57.0827766629442,Cayman Brac,2018
58.6932679439661,Cayman Brac,2018
48.0864711424387,Cayman Brac,2018
42.7718867591585,Cayman Brac,2018
64.9510131941326,Cayman Brac,2018
66.5345685532855,Cayman Brac,2018
85.1867922512177,Cayman Brac,2018
63.5421053576287,Cayman Brac,2018
79.1921730854458,Cayman Brac,2018
59.531083625226,Cayman Brac,2018
74.794,Cayman Brac,2019
81.541,Cayman Brac,2019
59.698,Cayman Brac,2019
57.955,Cayman Brac,2019
74.352,Cayman Brac,2019
73.727,Cayman Brac,2019
56.475,Cayman Brac,2019
70.145,Cayman Brac,2019
73.123,Cayman Brac,2019
73.299,Cayman Brac,2019
68.18,Cayman Brac,2019
77.208,Cayman Brac,2019
63.284,Cayman Brac,2019
77.779,Cayman Brac,2019
76.046,Cayman Brac,2019
80.006,Cayman Brac,2019
72.564,Cayman Brac,2019
75.658,Cayman Brac,2019
65.602,Cayman Brac,2019
72.232,Cayman Brac,2019
58.167,Cayman Brac,2019
56.25,Cayman Brac,2019
54.811,Cayman Brac,2019
54.035,Cayman Brac,2019
48.783,Cayman Brac,2019
43.889,Cayman Brac,2019
73.677,Cayman Brac,2019
73.775,Cayman Brac,2019
76.95,Cayman Brac,2019
45.12,Cayman Brac,2019
70.835,Cayman Brac,2019
76.505,Cayman Brac,2019
56.493,Cayman Brac,2019
72.177,Cayman Brac,2019
71.893,Cayman Brac,2019
45.069,Cayman Brac,2019
56.281,Cayman Brac,2019
75.923,Cayman Brac,2019
73.956,Cayman Brac,2019
72.331,Cayman Brac,2019
60.588,Cayman Brac,2019
67.651,Cayman Brac,2019
53.107,Cayman Brac,2019
82.088,Cayman Brac,2019
58.165,Cayman Brac,2019
51.965,Cayman Brac,2019
69.826,Cayman Brac,2019
64.95,Cayman Brac,2019
68.106,Cayman Brac,2019
74.191,Cayman Brac,2019
65.616,Cayman Brac,2019
78.203,Cayman Brac,2019
53.063,Cayman Brac,2019
78.318,Cayman Brac,2019
62.793,Cayman Brac,2019
58.339,Cayman Brac,2019
53.501,Cayman Brac,2019
57.208,Cayman Brac,2019
68.803,Cayman Brac,2019
64.595,Cayman Brac,2019
59.495,Cayman Brac,2019
57.055,Cayman Brac,2019
77.807,Cayman Brac,2019
78.508,Cayman Brac,2019
57.147,Cayman Brac,2019
75.603,Cayman Brac,2019
58.751,Cayman Brac,2019
69.906,Cayman Brac,2019
73.607,Cayman Brac,2019
68.702,Cayman Brac,2019
78.354,Cayman Brac,2019
64.246,Cayman Brac,2019
51.338,Cayman Brac,2019
78.27,Cayman Brac,2019
73.944,Cayman Brac,2019
67.182,Cayman Brac,2019
52.834,Cayman Brac,2019
52.773,Cayman Brac,2019
53.979,Cayman Brac,2019
51.776,Cayman Brac,2019
51.541,Cayman Brac,2019
74.702,Cayman Brac,2019
63.85,Cayman Brac,2019
78.131,Cayman Brac,2019
51.378,Cayman Brac,2019
61.034,Cayman Brac,2019
71.097,Cayman Brac,2019
77.422,Cayman Brac,2019
48.688,Cayman Brac,2019
49.556,Cayman Brac,2019
74.813,Cayman Brac,2019
65.636,Cayman Brac,2019
55.87,Cayman Brac,2019
76.309,Cayman Brac,2019
56.857,Cayman Brac,2019
60.493,Cayman Brac,2019
59.963,Cayman Brac,2019
47.999,Cayman Brac,2019
76.285,Cayman Brac,2019
63.658,Cayman Brac,2019
69.565,Cayman Brac,2019
68.127,Cayman Brac,2019
50.33,Cayman Brac,2019
54.082,Cayman Brac,2019
55.863,Cayman Brac,2019
67.497,Cayman Brac,2019
38.782,Cayman Brac,2019
51.427,Cayman Brac,2019
54.196,Cayman Brac,2019
76.194,Cayman Brac,2019
73.234,Cayman Brac,2019
47.1,Cayman Brac,2019
76.828,Cayman Brac,2019
65.863,Cayman Brac,2019
62.16,Cayman Brac,2019
