Year,Date,SL,Length_units,Weight,Weight_units,Age,Sex,Island,Fisher1,Fisher2
1978,1978-01-24,61,cm,6.8,kg,,F,Little,,
1978,1978-01-24,44.5,cm,2,kg,,F,Little,,
1978,1978-01-24,44.5,cm,2,kg,,M,Little,,
1978,1978-01-24,56,cm,5.2,kg,,F,Little,,
1978,1978-01-24,50.8,cm,3.2,kg,,F,Little,,
1978,1978-01-24,52,cm,3.6,kg,,F,Little,,
1978,1978-01-24,45.7,cm,2,kg,,F,Little,,
1978,1978-01-24,52,cm,4.3,kg,,F,Little,,
1978,1978-01-24,57,cm,4.5,kg,,M,Little,,
1978,1978-01-24,48.2,cm,3,kg,,M,Little,,
1978,1978-01-24,56,cm,4.3,kg,,F,Little,,
1978,1978-01-24,53.3,cm,3.4,kg,,F,Little,,
1978,1978-01-24,63.5,cm,6.1,kg,,F,Little,,
1978,1978-01-24,52,cm,3.2,kg,,M,Little,,
1978,1978-01-24,58.5,cm,5,kg,,F,Little,,
1978,1978-01-24,49.5,cm,2.7,kg,,M,Little,,
1978,1978-01-24,56,cm,4.3,kg,,F,Little,,
1978,1978-01-24,47,cm,2.3,kg,,M,Little,,
1978,1978-01-24,43.2,cm,2,kg,,F,Little,,
1978,1978-01-24,61,cm,5.9,kg,,F,Little,,
1978,1978-01-24,49.5,cm,3,kg,,M,Little,,
1978,1978-01-24,54.6,cm,4.3,kg,,F,Little,,
1978,1978-01-24,48.2,cm,3,kg,,M,Little,,
1978,1978-01-24,53.3,cm,4.1,kg,,M,Little,,
1978,1978-01-24,50.8,cm,3,kg,,F,Little,,
1978,1978-01-24,45.7,cm,2.3,kg,,F,Little,,
1978,1978-01-24,45.7,cm,2.3,kg,,F,Little,,
1978,1978-01-24,54.6,cm,3.6,kg,,F,Little,,
1978,1978-01-24,54.6,cm,3.9,kg,,M,Little,,
1978,1978-01-24,54.6,cm,4.1,kg,,F,Little,,
1978,1978-01-24,53.3,cm,3.6,kg,,F,Little,,
1978,1978-01-24,53.3,cm,4.1,kg,,M,Little,,
1978,1978-01-24,53.3,cm,4.1,kg,,F,Little,,
1978,1978-01-24,48.2,cm,3,kg,,F,Little,,
1978,1978-01-24,58.4,cm,5.5,kg,,F,Little,,
1978,1978-01-24,57,cm,4.25,kg,,M,Little,,
1978,1978-01-24,44.5,cm,2,kg,,F,Little,,
1978,1978-01-24,48.2,cm,2.5,kg,,F,Little,,
1978,1978-01-24,45.7,cm,2.5,kg,,F,Little,,
1978,1978-01-24,58.4,cm,5.5,kg,,F,Little,,
1978,1978-01-24,43.2,cm,2,kg,,F,Little,,
1978,1978-01-24,53.5,cm,4.25,kg,,M,Little,,
1978,1978-01-24,45.7,cm,2.5,kg,,F,Little,,
1978,1978-01-24,52,cm,4,kg,,F,Little,,
1978,1978-01-24,48.2,cm,2.5,kg,,F,Little,,
1978,1978-01-24,47,cm,3,kg,,M,Little,,
1978,1978-01-24,45.7,cm,2,kg,,M,Little,,
1978,1978-01-24,48.2,cm,2.7,kg,,F,Little,,
1978,1978-01-24,50.8,cm,3,kg,,F,Little,,
1978,1978-01-24,62.2,cm,7,kg,,M,Little,,
1978,1978-01-24,45.7,cm,2.5,kg,,F,Little,,
1978,1978-01-24,52,cm,3.5,kg,,F,Little,,
1978,1978-01-24,45.7,cm,2.25,kg,,M,Little,,
1978,1978-01-24,50.8,cm,3,kg,,F,Little,,
1978,1978-01-24,58.4,cm,5.75,kg,,F,Little,,
1978,1978-01-24,54.6,cm,5,kg,,M,Little,,
1978,1978-01-24,45.7,cm,2.5,kg,,M,Little,,
1978,1978-01-24,40.6,cm,1.5,kg,,M,Little,,
1978,1978-01-24,52,cm,3.5,kg,,M,Little,,
1978,1978-01-24,48.2,cm,2.25,kg,,F,Little,,
1978,1978-01-24,53.3,cm,4,kg,,F,Little,,
1978,1978-01-24,52,cm,3.5,kg,,F,Little,,
1978,1978-01-24,59.7,cm,6,kg,,F,Little,,
1978,1978-01-24,57.2,cm,5.75,kg,,M,Little,,
1978,1978-01-24,52,cm,3,kg,,M,Little,,
1978,1978-01-24,51,cm,2.5,kg,,F,Little,,
1978,1978-01-24,48,cm,3,kg,,F,Little,,
1978,1978-01-24,49,cm,2.5,kg,,F,Little,,
1978,1978-01-24,52,cm,3.25,kg,,F,Little,,
1978,1978-01-24,47,cm,3,kg,,M,Little,,
1978,1978-01-24,47,cm,2.25,kg,,F,Little,,
1978,1978-01-24,51,cm,3.5,kg,,F,Little,,
1978,1978-01-24,62,cm,6,kg,,F,Little,,
1978,1978-01-24,51,cm,3,kg,,F,Little,,
1978,1978-01-24,57,cm,3.75,kg,,F,Little,,
1978,1978-01-24,51,cm,3.8,kg,,M,Little,,
1978,1978-01-24,46,cm,2.5,kg,,F,Little,,
1978,1978-01-24,47,cm,2.5,kg,,M,Little,,
1978,1978-01-24,54,cm,4.5,kg,,F,Little,,
1978,1978-01-24,42,cm,2,kg,,M,Little,,
1978,1978-01-24,50,cm,2.75,kg,,F,Little,,
1978,1978-01-24,58,cm,5,kg,,M,Little,,
1978,1978-01-24,40,cm,1.8,kg,,M,Little,,
1978,1978-01-24,47,cm,2.75,kg,,M,Little,,
1978,1978-01-24,42,cm,1.5,kg,,F,Little,,
1978,1978-01-24,57,cm,4.5,kg,,F,Little,,
1978,1978-01-24,54,cm,4,kg,,F,Little,,
1978,1978-01-24,60,cm,5.25,kg,,M,Little,,
1978,1978-01-24,56,cm,3.5,kg,,,Little,,
1978,1978-01-24,51,cm,3.5,kg,,M,Little,,
1978,1978-01-24,42,cm,1.5,kg,,F,Little,,
1978,1978-01-24,55,cm,4,kg,,F,Little,,
1978,1978-01-24,53,cm,3.5,kg,,F,Little,,
1978,1978-01-24,44,cm,2,kg,,M,Little,,
1978,1978-01-24,49,cm,2.3,kg,,F,Little,,
